,0,1
Kreditplus,2020-06-23,"768,890"
Swvl,2020-06-23,"4,195,918"
Havenly,2020-06-25,"1,369,180"
Ledger,2020-06-25,"1,075,241"
ProctorU,2020-06-26,"444,453"
Dave,2020-06-28,"2,964,182"
OrderSnapp,2020-06-29,"1,304,447"
Wattpad,2020-06-29,"268,765,495"
Drizly,2020-07-02,"2,479,044"
WiziShop,2020-07-14,"2,856,769"
Utah Gun Exchange,2020-07-17,"235,233"
Lazada RedMart,2020-07-30,"1,107,789"
Jefit,2020-08-11,"9,052,457"
ShockGore,2020-08-11,"73,944"
Bonobos,2020-08-14,"2,811,929"
Experian (South Africa),2020-08-19,"1,284,637"
Unico Campania,2020-08-19,"166,031"
Livpure,2020-08-29,"269,552"
Paytm,2020-08-30,"3,395,101"
RedDoorz,2020-09-04,"5,890,277"
Shopper+,2020-09-14,"878,290"
ShopBack,2020-09-17,"20,529,819"
Eskimi,2020-09-25,"1,197,620"
Nitro,2020-09-28,"77,159,696"
GeniusU,2020-10-02,"1,301,460"
Gravatar,2020-10-03,"113,990,759"
Chowbus,2020-10-05,"444,224"
Pixlr,2020-10-07,"1,906,808"
Famm,2020-10-08,"535,240"
LimeVPN,2020-10-08,"23,348"
Animal Jam,2020-10-12,"7,104,998"
Thingiverse,2020-10-13,"228,102"
bigbasket,2020-10-14,"24,500,011"
Playbook,2020-10-19,"50,538"
Wongnai,2020-10-28,"3,924,454"
Cit0day,2020-11-04,"226,883,414"
Capital Economics,2020-12-12,"263,829"
People's Energy,2020-12-16,"358,822"
Travel Oklahoma,2020-12-17,"637,279"
DriveSure,2020-12-19,"3,675,099"
MMG Fusion,2020-12-20,"2,660,295"
NetGalley,2020-12-21,"1,436,435"
University of California,2020-12-24,"547,422"
Twitter (200M),2021-01-01,"211,524,284"
Adecco,2021-01-03,"4,284,538"
Devil-Torrents.pl,2021-01-04,"63,451"
WedMeGood,2021-01-06,"1,306,723"
Bourse des Vols,2021-01-12,"1,460,130"
Guns.com,2021-01-12,"375,928"
Daily Quiz,2021-01-13,"8,032,404"
Oxfam,2021-01-20,"1,834,006"
Unverified Data Source,2021-01-26,"11,498,146"
Emotet,2021-01-27,"4,324,770"
Bookchor,2021-01-28,"498,297"
Ducks Unlimited,2021-01-29,"1,324,364"
Raychat,2021-01-31,"938,981"
KomplettFritid,2021-02-01,"139,401"
CityBee,2021-02-05,"110,156"
NurseryCam,2021-02-12,"10,585"
Ticketcounter,2021-02-22,"1,921,722"
SuperVPN & GeckoVPN,2021-02-25,"20,339,937"
Gab,2021-02-26,"66,521"
Liker,2021-03-08,"465,141"
WeLeakInfo,2021-03-08,"11,788"
Descomplica,2021-03-14,"4,845,378"
IDC Games,2021-03-15,"3,966,871"
Carding Mafia (March 2021),2021-03-18,"297,744"
ParkMobile,2021-03-21,"20,949,825"
MangaDex,2021-03-22,"2,987,329"
Domino's India,2021-03-24,"22,527,655"
SlideTeam,2021-04-06,"1,464,271"
LinkedIn Scraped Data,2021-04-08,"125,698,496"
Phone House España,2021-04-08,"5,223,350"
Upstox,2021-04-08,"111,002"
OGUsers (2021 breach),2021-04-11,"348,302"
SirHurt,2021-04-23,"90,655"
CTARS,2021-05-21,"12,314"
Paragon Cheats,2021-05-22,"188,089"
IndiaMART,2021-05-23,"20,154,583"
START,2021-06-01,"7,455,386"
Short Édition,2021-06-26,"505,466"
Guntrader,2021-07-17,"112,031"
Open Subtitles,2021-08-01,"6,783,158"
Imavex,2021-08-20,"878,209"
DatPiff,2021-08-25,"7,476,940"
Republican Party of Texas,2021-09-11,"72,596"
Epik,2021-09-13,"15,003,961"
Fantasy Football Hub,2021-10-02,"66,479"
Protemps,2021-10-04,"49,591"
ActMobile,2021-10-08,"1,583,193"
CoinMarketCap,2021-10-12,"3,117,548"
JukinMedia,2021-10-28,"314,290"
CyberServe,2021-10-29,"1,107,034"
BTC-Alpha,2021-11-02,"362,426"
Robinhood,2021-11-03,"5,003,937"
Stripchat,2021-11-05,"10,001,355"
ZAP-Hosting,2021-11-22,"746,682"
Travelio,2021-11-23,"471,376"
Aditya Birla Fashion and Retail,2021-12-01,"5,470,063"
RedLine Stealer,2021-12-05,"441,657"
FlexBooker,2021-12-23,"3,756,794"
Carding Mafia (December 2021),2021-12-28,"303,877"
Twitter,2022-01-01,"6,682,453"
Doxbin,2022-01-05,"370,794"
MacGeneration,2022-01-29,"101,004"
GiveSendGo,2022-02-07,"89,966"
NVIDIA,2022-02-23,"71,335"
CDEK,2022-03-09,"19,218,203"
PayHere,2022-03-27,"1,580,249"
E-Pal,2022-04-15,"108,887"
Fanpass,2022-04-30,"112,251"
BlackBerry Fans,2022-05-06,"174,168"
Mangatoon,2022-05-13,"23,040,238"
Amart Furniture,2022-05-16,"108,940"
QuestionPro,2022-05-21,"22,229,637"
La Poste Mobile,2022-07-04,"533,886"
Weee,2022-07-11,"1,117,405"
DoorDash,2022-08-02,"367,476"
Shitexpress,2022-08-08,"23,817"
GGCorp,2022-08-11,"2,376,330"
Brand New Tube,2022-08-14,"349,627"
TAP Air Portugal,2022-08-25,"6,083,479"
Wakanim,2022-08-28,"6,706,951"
Get Revenge On Your Ex,2022-09-09,"79,195"
Doomworld,2022-10-12,"34,478"
RealDudesInc,2022-10-22,"101,543"
Abandonia (2022),2022-11-15,"919,790"
CoinTracker,2022-12-01,"1,557,153"
GunAuction.com,2022-12-03,"565,470"
Gemini,2022-12-13,"5,274,214"
iD Tech,2023-01-03,"415,121"
Autotrader,2023-01-06,"20,032"
Zurich,2023-01-08,"756,737"
Planet Ice,2023-01-14,"240,488"
School District 42,2023-01-15,"18,850"
Eye4Fraud,2023-01-25,"16,000,591"
Convex,2023-02-01,"150,129"
