,0,1
Sonicbids,2019-12-30,"751,700"
Zurich,2023-01-08,"756,737"
DataCamp,2017-01-30,"760,561"
Moneycontrol,2017-09-07,"762,874"
Verifications.io,2019-02-25,"763,117,241"
Funny Games,2018-04-28,"764,357"
Kreditplus,2020-06-23,"768,890"
Nitro,2020-09-28,"77,159,696"
JD,2013-01-01,"77,449,341"
Collection #1,2019-01-07,"772,904,991"
Abandonia (2015),2015-11-01,"776,125"
ForumCommunity,2016-06-01,"776,648"
Black Hat World,2014-06-23,"777,387"
ViewFines,2018-05-07,"777,649"
Ulmon,2020-01-26,"777,769"
Sephora,2017-01-09,"780,073"
DivX SubTitles,2010-01-01,"783,058"
Get Revenge On Your Ex,2022-09-09,"79,195"
Brazzers,2013-04-01,"790,724"
Daily Quiz,2021-01-13,"8,032,404"
Heroes of Newerth,2012-12-17,"8,089,103"
Truth Finder,2019-04-12,"8,159,573"
Data Enrichment Records,2016-12-23,"8,176,132"
Teespring,2020-04-01,"8,234,193"
Gamigo,2012-03-01,"8,243,604"
We Heart It,2013-11-03,"8,600,635"
123RF,2020-03-22,"8,661,578"
Dodonew.com,2011-12-01,"8,718,404"
Home Chef,2020-02-10,"8,815,692"
"2,844 Separate Data Breaches",2018-02-19,"80,115,532"
Onverse,2016-01-01,"800,157"
Knuddels,2018-09-05,"808,330"
eThekwini Municipality,2016-09-07,"81,830"
EpicBot,2019-09-01,"816,662"
Warframe,2014-11-24,"819,478"
Battlefy,2016-01-11,"83,610"
TruckersMP,2016-02-25,"83,957"
Pokémon Negro,2016-10-01,"830,155"
The Fly on the Wall,2017-12-31,"84,011"
MDPI,2016-08-30,"845,012"
Baby Names,2008-10-24,"846,742"
Dailymotion,2016-10-20,"85,176,234"
Manga Traders,2014-06-09,"855,249"
Slickwraps,2020-02-16,"857,611"
WPSandbox,2018-11-04,858
Stratfor,2011-12-24,"859,777"
FaceUP,2013-01-01,"87,633"
Everybody Edits,2019-03-23,"871,190"
Imavex,2021-08-20,"878,209"
Shopper+,2020-09-14,"878,290"
MoDaCo,2016-01-01,"879,703"
Qatar National Bank,2015-07-01,"88,678"
