,0,1
ProctorU,2020-06-26,"444,453"
Programming Forums,2015-12-01,"707,432"
Promo,2020-06-22,"14,610,585"
Promofarma,2019-08-03,"1,277,761"
PropTiger,2018-01-30,"2,156,921"
Protemps,2021-10-04,"49,591"
QIP,2011-06-01,"26,183,992"
Qatar National Bank,2015-07-01,"88,678"
Quantum Booter,2014-03-18,"48,592"
QuestionPro,2022-05-21,"22,229,637"
Quidd,2019-07-01,"3,805,863"
QuinStreet,2015-12-14,"4,907,802"
R2 (2017 forum breach),2017-01-01,"1,023,466"
R2Games,2015-11-01,"22,281,337"
Rambler,2014-03-01,"91,436,280"
RankWatch,2016-11-19,"7,445,067"
Raychat,2021-01-31,"938,981"
Rbx.Rocks,2018-08-06,"149,958"
Read Novel,2019-05-01,"22,424,472"
Real Estate Mogul,2016-09-06,"307,768"
RealDudesInc,2022-10-22,"101,543"
RedDoorz,2020-09-04,"5,890,277"
RedLine Stealer,2021-12-05,"441,657"
Regpack,2016-05-20,"104,977"
Reincubate,2017-05-11,"616,146"
Republican Party of Texas,2021-09-11,"72,596"
Retina-X,2017-02-23,"71,153"
ReverbNation,2014-01-01,"7,040,725"
River City Media Spam List,2017-01-01,"393,430,309"
Robinhood,2021-11-03,"5,003,937"
Roll20,2018-12-26,"3,994,436"
Romwe,2018-06-01,"19,531,820"
Rosebutt Board,2016-05-09,"107,303"
Royal Enfield,2019-01-01,"420,873"
Russian America,2017-01-01,"182,717"
SC Daily Phone Spam List,2015-04-14,"32,939,105"
SHEIN,2018-06-01,"39,086,762"
START,2021-06-01,"7,455,386"
SaverSpy,2018-09-18,"2,457,420"
Scentbird,2020-06-22,"5,814,988"
School District 42,2023-01-15,"18,850"
Seedpeer,2015-07-12,"281,924"
Sephora,2017-01-09,"780,073"
ServerPact,2016-01-01,"73,587"
Shadi.com,2016-07-09,"2,021,984"
ShareThis,2018-07-09,"40,960,499"
Shitexpress,2022-08-08,"23,817"
ShockGore,2020-08-11,"73,944"
ShopBack,2020-09-17,"20,529,819"
Shopper+,2020-09-14,"878,290"
Short Édition,2021-06-26,"505,466"
Shotbow,2016-05-09,"1,052,753"
SirHurt,2021-04-23,"90,655"
SitePoint,2020-06-20,"1,021,790"
SkTorrent,2016-02-19,"117,070"
Slickwraps,2020-02-16,"857,611"
SlideTeam,2021-04-06,"1,464,271"
Smogon,2017-09-10,"386,489"
Snail,2015-03-14,"1,410,899"
Snapchat,2014-01-01,"4,609,615"
Social Engineered,2019-06-13,"89,392"
Società Italiana degli Autori ed Editori,2018-11-03,"14,609"
Sonicbids,2019-12-30,"751,700"
Sony,2011-06-02,"37,103"
Soundwave,2015-07-16,"130,705"
Special K Data Feed Spam List,2015-10-07,"30,741,620"
Spirol,2014-02-22,"55,622"
SpyFone,2018-08-16,"44,109"
Staminus,2016-03-11,"26,815"
StarNet,2015-02-26,"139,395"
StarTribune,2019-10-10,"2,192,857"
Ster-Kinekor,2017-03-09,"1,619,544"
StockX,2019-07-26,"6,840,339"
StoryBird,2015-08-07,"1,047,200"
Straffic,2020-02-14,"48,580,249"
Stratfor,2011-12-24,"859,777"
StreetEasy,2016-06-28,"988,230"
Stripchat,2021-11-05,"10,001,355"
Stronghold Kingdoms,2018-07-04,"5,187,305"
SubaGames,2016-11-01,"6,137,666"
Sumo Torrent,2014-06-21,"285,191"
SuperVPN & GeckoVPN,2021-02-25,"20,339,937"
SvenskaMagic,2015-07-01,"30,327"
SweClockers.com,2015-04-01,"254,867"
Swvl,2020-06-23,"4,195,918"
TAP Air Portugal,2022-08-25,"6,083,479"
TGBUS,2017-09-01,"10,371,766"
TaiLieu,2019-11-24,"7,327,477"
Tamodo,2020-02-28,"494,945"
Taobao,2012-01-01,"21,149,008"
Taringa,2017-08-01,"27,971,100"
Team SoloMid,2014-12-22,"442,166"
Technic,2018-11-30,"265,410"
Teespring,2020-04-01,"8,234,193"
Telecom Regulatory Authority of India,2015-04-27,"107,776"
Teracod,2016-05-28,"97,151"
Tesco,2014-02-12,"2,239"
The Candid Board,2015-09-03,"178,201"
The Fappening,2015-12-01,"179,030"
The Fly on the Wall,2017-12-31,"84,011"
The Halloween Spot,2019-09-27,"10,653"
TheTVDB.com,2017-11-21,"181,871"
Thingiverse,2020-10-13,"228,102"
ThisHabbo Forum,2014-01-01,"612,414"
Tianya,2011-12-26,"29,020,808"
Ticketcounter,2021-02-22,"1,921,722"
Ticketfly,2018-05-31,"26,151,608"
Tokopedia,2020-04-17,"71,443,698"
ToonDoo,2019-08-21,"6,002,694"
Torrent Invites,2013-12-12,"352,120"
Tout,2014-09-11,"652,683"
Travel Oklahoma,2020-12-17,"637,279"
Travelio,2021-11-23,"471,376"
Trik Spam Botnet,2018-06-12,"43,432,346"
Trillian,2015-12-27,"3,827,238"
TruckersMP,2016-02-25,"83,957"
TrueFire,2020-02-21,"599,667"
Truth Finder,2019-04-12,"8,159,573"
Tuned Global,2016-03-16,"985,586"
Twitter,2022-01-01,"6,682,453"
Twitter (200M),2021-01-01,"211,524,284"
UN Internet Governance Forum,2014-02-20,"3,200"
Uiggy,2016-06-01,"2,682,650"
Ulmon,2020-01-26,"777,769"
Underworld Empire,2017-04-25,"428,779"
Unico Campania,2020-08-19,"166,031"
Universarium,2019-11-01,"564,962"
University of California,2020-12-24,"547,422"
Unreal Engine,2016-08-11,"530,147"
Unverified Data Source,2021-01-26,"11,498,146"
Upstox,2021-04-08,"111,002"
Utah Gun Exchange,2020-07-17,"235,233"
V-Tight Gel,2016-02-13,"2,013,164"
VK,2012-01-01,"93,338,602"
VNG,2015-05-19,"24,853,850"
VTech,2015-11-13,"4,833,678"
Vakinha,2020-06-22,"4,775,203"
Vastaamo,2019-03-31,"30,433"
Vedantu,2019-07-08,"686,899"
Verifications.io,2019-02-25,"763,117,241"
Verified,2014-01-10,"16,919"
Vianet,2020-04-08,"94,353"
Victory Phones,2017-01-01,"166,046"
ViewFines,2018-05-07,"777,649"
Vodafone,2013-11-30,"56,021"
Void.to,2019-06-13,"95,431"
WHMCS,2012-05-21,"134,047"
WIIU ISO,2015-09-25,"458,155"
WPSandbox,2018-11-04,858
WPT Amateur Poker League,2014-01-04,"148,366"
Wakanim,2022-08-28,"6,706,951"
Wanelo,2018-12-13,"23,165,793"
War Inc.,2012-07-04,"1,020,136"
Warframe,2014-11-24,"819,478"
Warmane,2016-12-01,"1,116,256"
Wattpad,2020-06-29,"268,765,495"
We Heart It,2013-11-03,"8,600,635"
WeLeakInfo,2021-03-08,"11,788"
WedMeGood,2021-01-06,"1,306,723"
Weee,2022-07-11,"1,117,405"
Wendy's,2018-03-31,"52,485"
Whitepages,2016-06-27,"11,657,763"
Wiener Büchereien,2019-06-10,"224,119"
Wife Lovers,2018-10-07,"1,274,051"
WildStar,2015-07-11,"738,556"
Win7Vista Forum,2013-09-03,"202,683"
Wishbone (2016),2016-08-07,"2,247,314"
Wishbone (2020),2020-01-27,"9,705,172"
WiziShop,2020-07-14,"2,856,769"
Wongnai,2020-10-28,"3,924,454"
XKCD,2019-07-01,"561,991"
XPG,2016-01-01,"890,341"
XSplit,2013-11-07,"2,983,472"
Xbox 360 ISO,2015-09-25,"1,296,959"
Xbox-Scene,2015-02-01,"432,552"
Xiaomi,2012-08-01,"7,088,010"
Yahoo,2012-07-11,"453,427"
Yam,2013-06-02,"13,258,797"
Yandex Dump,2014-09-07,"1,186,564"
Yatra,2013-09-01,"5,033,997"
You've Been Scraped,2018-10-05,"66,147,869"
YouNow,2019-02-15,"18,241,518"
YouPorn,2012-02-21,"1,327,567"
Youku,2016-12-01,"91,890,110"
ZAP-Hosting,2021-11-22,"746,682"
Zhenai.com,2011-12-21,"5,024,908"
Zomato,2017-05-17,"16,472,873"
Zoomcar,2018-07-01,"3,589,795"
Zoosk (2011),2011-01-01,"52,578,183"
Zoosk (2020),2020-01-12,"23,927,853"
Zooville,2019-09-27,"71,407"
Zurich,2023-01-08,"756,737"
Zynga,2019-09-01,"172,869,660"
ai.type,2017-12-05,"20,580,060"
bigbasket,2020-10-14,"24,500,011"
devkitPro,2019-02-03,"1,508"
diet.com,2014-08-10,"1,383,759"
dvd-shop.ch,2017-12-05,"67,973"
eThekwini Municipality,2016-09-07,"81,830"
europa.jobs,2019-08-11,"226,095"
gPotato,2007-07-12,"2,136,520"
hackforums.net,2011-06-25,"191,540"
hemmelig.com,2011-12-21,"28,641"
i-Dressup,2016-07-15,"2,191,565"
iD Tech,2023-01-03,"415,121"
iMesh,2013-09-22,"49,467,477"
iPmart,2015-07-01,"2,460,787"
imgur,2013-09-01,"1,749,806"
ixigo,2019-01-03,"17,204,697"
mSpy,2015-05-14,"699,793"
mail.ru Dump,2014-09-10,"16,630,988"
myRepoSpace,2015-07-06,"252,751"
piZap,2017-12-07,"41,817,893"
tumblr,2013-02-28,"65,469,298"
uTorrent,2016-01-14,"395,044"
uuu9,2016-09-06,"7,485,802"
vBulletin,2015-11-03,"518,966"
xHamster,2016-11-28,"377,377"
xat,2015-11-04,"5,968,783"
yotepresto.com,2020-06-22,"1,444,629"
Пара Па,2016-08-08,"4,946,850"
Спрашивай.ру,2015-05-11,"3,474,763"
